Seviye;Gereken Tecrübe
1;300
2;800
3;1.500
4;2.500
5;4.300
6;7.200
7;11.000
8;17.000
9;24.000
10;33.000
11;43.000
12;58.000
13;76.000
14;100.000
15;130.000
16;169.000
17;219.000
18;283.000
19;365.000
20;472.000
21;610.000
22;705.000
23;813.000
24;937.000
25;1.077.000
26;1.237.000
27;1.418.000
28;1.624.000
29;1.857.000
30;2.122.000
31;2.421.000
32;2.761.000
33;3.145.000
34;3.580.000
35;4.073.000
36;4.632.000
37;5.194.000
38;5.717.000
39;6.264.000
40;6.837.000
41;7.600.000
42;8.274.000
43;8.990.000
44;9.753.000
45;10.560.000
46;11.410.000
47;12.320.000
48;13.270.000
49;14.280.000
50;15.340.000
51;16.870.000
52;18.960.000
53;19.980.000
54;21.420.000
55;22.930.000
56;24.580.000
57;26.200.000
58;27.960.000
59;29.800.000
60;32.780.000
61;36.060.000
62;39.670.000
63;43.640.000
64;48.000.000
65;52.800.000
66;58.080.000
67;63.890.000
68;70.280.000
69;77.310.000
70;85.040.000
71;93.540.000
72;102.900.000
73;113.200.000
74;124.500.000
75;137.000.000
76;150.700.000
77;165.700.000
78;236.990.000
79;260.650.000
80;286.780.000
81;315.000.000
82;346.970.000
83;381.680.000
84;419.770.000
85;461.760.000
86;508.040.000
87;558.740.000
88;614.640.000
89;676.130.000
90;743.730.000
91;1.041.222.000
92;1.145.344.200
93;1.259.878.620
94;1.385.866.482
95;1.524.453.130
96;1.676.898.443
97;1.844.588.288
98;2.029.047.116
99;2.050.000.000
100;2.150.000.000
101;2.210.000.000
102;2.250.000.000
103;2.280.000.000
104;2.310.000.000
105;2.330.000.000
106;2.350.000.000
107;2.370.000.000
108;2.390.000.000
109;2.400.000.000
110;2.410.000.000
111;2.420.000.000
112;2.430.000.000
113;2.440.000.000
114;2.450.000.000
115;2.460.000.000
116;2.470.000.000
117;2.480.000.000
118;2.490.000.000
119;2.490.000.000
120;2.500.000.000
